trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.8, 'e': 0.6935613678313175}",30,0,-154.56399648475153,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
74,False,"{'a': 0.8, 'e': 0.6900935609921609}",20,0,-10.108983145631852,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.8, 'e': 0.6866430931872001}",25,0,-40.71622193478519,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.8, 'e': 0.6832098777212641}",20,0,-78.12319740833574,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
77,False,"{'a': 0.8, 'e': 0.6797938283326578}",30,0,-62.17283176914165,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
78,False,"{'a': 0.8, 'e': 0.6763948591909945}",35,0,-43.39111671378121,"{0: 29, 1: 2, 2: 3, 3: 0, 4: 1}",0
79,False,"{'a': 0.8, 'e': 0.6730128848950395}",25,0,-28.50121906288063,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
80,False,"{'a': 0.8, 'e': 0.6696478204705644}",20,8,-52.5824953554522,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.6662995813682115}",20,0,-58.02320145018053,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
82,False,"{'a': 0.8, 'e': 0.6629680834613705}",20,10,-89.6367525316228,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
83,False,"{'a': 0.8, 'e': 0.6596532430440636}",30,0,-65.80798220576143,"{0: 22, 1: 2, 2: 3, 3: 3, 4: 0}",0
84,False,"{'a': 0.8, 'e': 0.6563549768288433}",35,0,-27.79796096021464,"{0: 28, 1: 3, 2: 3, 3: 1, 4: 0}",0
85,False,"{'a': 0.8, 'e': 0.653073201944699}",25,7,-46.68583075419451,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
86,False,"{'a': 0.8, 'e': 0.6498078359349755}",25,0,-17.92485277260044,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
87,False,"{'a': 0.8, 'e': 0.6465587967553006}",25,6,-102.13454670113848,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 3}",1
88,False,"{'a': 0.8, 'e': 0.6433260027715241}",35,0,-75.48246018569807,"{0: 26, 1: 2, 2: 6, 3: 0, 4: 1}",0
89,False,"{'a': 0.8, 'e': 0.6401093727576664}",30,0,-77.67170524695992,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
90,False,"{'a': 0.8, 'e': 0.6369088258938781}",25,16,2.1549842381741087,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.8, 'e': 0.6337242817644086}",25,0,-62.98557874833158,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
92,False,"{'a': 0.8, 'e': 0.6305556603555866}",20,0,-63.973368219582746,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.8, 'e': 0.6274028820538087}",25,0,-93.72110792073097,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
94,False,"{'a': 0.8, 'e': 0.6242658676435396}",30,0,-45.896893019859625,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.8, 'e': 0.6211445383053219}",25,14,7.018778890925363,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.8, 'e': 0.6180388156137953}",20,0,-55.89910109535579,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
97,False,"{'a': 0.8, 'e': 0.6149486215357263}",20,11,-27.593612827813203,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.8, 'e': 0.6118738784280476}",25,7,-78.37325417463786,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
99,False,"{'a': 0.8, 'e': 0.6088145090359074}",30,1,-11.794089392780709,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 0}",1
100,False,"{'a': 0.8, 'e': 0.6057704364907278}",25,0,-163.62841475870545,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
101,False,"{'a': 0.8, 'e': 0.6027415843082742}",25,12,15.18884582907131,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.8, 'e': 0.5997278763867329}",25,0,-81.69218567132685,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
103,False,"{'a': 0.8, 'e': 0.5967292370047992}",25,0,-48.107889657363046,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
104,False,"{'a': 0.8, 'e': 0.5937455908197752}",20,4,-2.742519360720803,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.8, 'e': 0.5907768628656763}",35,3,-52.384651062987245,"{0: 27, 1: 1, 2: 2, 3: 1, 4: 1}",1
106,False,"{'a': 0.8, 'e': 0.5878229785513479}",30,0,-69.53576065513344,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
107,False,"{'a': 0.8, 'e': 0.5848838636585911}",20,0,16.54330139768384,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.8, 'e': 0.5819594443402982}",25,15,16.82967164196758,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.8, 'e': 0.5790496471185967}",25,0,-99.49792018810815,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
110,False,"{'a': 0.8, 'e': 0.5761543988830038}",20,3,-85.77241203137766,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
111,False,"{'a': 0.8, 'e': 0.5732736268885887}",30,8,-17.45770123367313,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.8, 'e': 0.5704072587541458}",20,12,5.764400988551154,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.8, 'e': 0.567555222460375}",25,6,-18.231275182247366,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 0}",1
114,False,"{'a': 0.8, 'e': 0.5647174463480732}",25,0,-51.610131223227896,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
115,False,"{'a': 0.8, 'e': 0.5618938591163328}",25,8,-7.294401741747294,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
116,False,"{'a': 0.8, 'e': 0.5590843898207511}",30,0,3.6387007915874205,"{0: 24, 1: 5, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.8, 'e': 0.5562889678716474}",20,3,12.027807930364052,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.8, 'e': 0.5535075230322891}",25,11,-25.89992116427069,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.8, 'e': 0.5507399854171277}",20,6,-33.41736336981755,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.8, 'e': 0.547986285490042}",35,0,-56.74734438600579,"{0: 27, 1: 2, 2: 4, 3: 2, 4: 0}",1
121,False,"{'a': 0.8, 'e': 0.5452463540625918}",20,4,-12.267067627189512,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.8, 'e': 0.5425201222922789}",30,8,-46.77750684999209,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
123,False,"{'a': 0.8, 'e': 0.5398075216808175}",25,0,-46.45495020231864,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
124,False,"{'a': 0.8, 'e': 0.5371084840724134}",20,0,-77.72672230479952,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
125,False,"{'a': 0.8, 'e': 0.5344229416520513}",25,11,2.40311378061077,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.8, 'e': 0.531750826943791}",25,7,-23.72582056894725,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.8, 'e': 0.5290920728090721}",30,0,-14.481468806778954,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
128,False,"{'a': 0.8, 'e': 0.5264466124450268}",30,0,-111.00183491786908,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
129,False,"{'a': 0.8, 'e': 0.5238143793828016}",20,0,-49.77984801756612,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
130,False,"{'a': 0.8, 'e': 0.5211953074858876}",20,12,-39.826784922873784,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.8, 'e': 0.5185893309484582}",25,10,-4.750899894507356,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.8, 'e': 0.5159963842937159}",20,0,-90.40004614557473,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
133,False,"{'a': 0.8, 'e': 0.5134164023722473}",20,0,-20.708138487435317,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
134,False,"{'a': 0.8, 'e': 0.510849320360386}",20,7,-95.73613503006708,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 2}",1
135,False,"{'a': 0.8, 'e': 0.5082950737585841}",30,0,-112.53677785221802,"{0: 21, 1: 0, 2: 6, 3: 2, 4: 1}",0
136,False,"{'a': 0.8, 'e': 0.5057535983897912}",25,18,-28.651221679924916,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.8, 'e': 0.5032248303978422}",25,6,-58.42869931495692,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
138,False,"{'a': 0.8, 'e': 0.500708706245853}",30,0,-79.06587692479577,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
139,False,"{'a': 0.8, 'e': 0.4982051627146237}",30,0,-56.787093622062095,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
140,False,"{'a': 0.8, 'e': 0.49571413690105054}",25,7,-110.96759061863973,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
141,False,"{'a': 0.8, 'e': 0.4932355662165453}",25,11,-98.5824966962988,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 2}",1
142,False,"{'a': 0.8, 'e': 0.4907693883854626}",25,0,25.722554911551995,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.8, 'e': 0.4883155414435353}",25,0,-26.001905161178435,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
144,False,"{'a': 0.8, 'e': 0.4858739637363176}",20,3,-40.09922637608786,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
145,False,"{'a': 0.8, 'e': 0.483444593917636}",25,5,-70.1319434867921,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
146,False,"{'a': 0.8, 'e': 0.4810273709480478}",20,7,10.478482262786747,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.8, 'e': 0.47862223409330756}",25,7,4.706159641451893,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.8, 'e': 0.47622912292284103}",20,0,-7.0480666422717295,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
149,False,"{'a': 0.8, 'e': 0.4738479773082268}",20,3,17.716771652334383,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
